word,property,label
frustration,tangled headphones,association
frustration,traffic,association
fun,games,social
fun,laughter,sensorimotor
fun,party,social
fun,playground,social
fury,clenched fists,sensorimotor
fury,red,sensorimotor
fury,storm,sensorimotor
fury,unleashed,association
future,calendar,association
future,flying cars,sensorimotor
future,hope,emotion
future,unknown,association
genius,breakthrough,association
genius,einstein,association
genius,lightbulb,association
genius,madness,emotion
glory,anthem,association
glory,battlefield,association
glory,gold,association
glory,sunrise,sensorimotor
grace,ballet,sensorimotor
grace,prayer,sensorimotor
grace,stumble,association
grace,swan,sensorimotor
gratitude,giving back,social
gratitude,thank-you card,social
gratitude,thanksgiving,social
gratitude,warmth,emotion
greed,gold,sensorimotor
greed,hoarding,association
greed,pig,association
greed,wall street,association
guess,blindfold,sensorimotor
guess,estimate,association
guess,lottery,association
guess,riddle,association
habit,breaking,association
habit,monk,association
habit,nail-biting,sensorimotor
habit,routine,association
happiness,birthday,association
happiness,butterflies,association
happiness,laughter,sensorimotor
happiness,sunshine,sensorimotor
hate,clenched fists,sensorimotor
hate,darkness,sensorimotor
hate,fire,sensorimotor
hate,poison,sensorimotor
help,button,association
help,emergency,association
help,hand,association
help,volunteer,association
hint,clue,association
hint,mystery,association
hint,subtle,association
hint,whisper,sensorimotor
home,cooking,sensorimotor
home,family,social
home,keys,association
home,warmth,sensorimotor
honor,graduation,social
honor,integrity,association
honor,knight,association
honor,salute,social
hope,anchor,association
hope,tomorrow,association
hope,whisper,association
horror,blood,sensorimotor
horror,darkness,sensorimotor
horror,haunted,association
horror,scream,sensorimotor
humor,comedian,association
humor,laughter,sensorimotor
humor,relief,emotion
humor,timing,association
hunger,africa,association
hunger,growling,sensorimotor
hunger,lunch,association
hunger,stomach,sensorimotor
hurry,clock,association
hurry,late,association
hurry,running,sensorimotor
hurry,stress,association
idea,brainstorm,association
idea,lightbulb,association
idea,notebook,association
idea,spark,association
ideal,dream,emotion
ideal,perfection,association
ideal,standard,association
ideal,utopia,association
illusion,desert,association
illusion,magician,association
illusion,mirror,association
illusion,smoke,association
impression,artist,association
impression,fingerprint,sensorimotor
impression,first,association
impression,lasting,association
incentive,bonus,association
incentive,carrot,association
incentive,motivation,association
incentive,reward,association
independence,declaration,association
independence,flag,association
independence,freedom,emotion
independence,teenager,association
indifference,gray,association
indifference,shrug,sensorimotor
indifference,silence,sensorimotor
indifference,stranger,social
influence,lobbyist,association
influence,mentor,social
influence,power,association
influence,ripple,association
insanity,asylum,social
insanity,laughter,emotion
insanity,mirrors,association
insanity,spiral,association
insight,breakthrough,association
insight,detective,association
insight,lightbulb,association
insight,meditation,emotion
insult,comedian,association
insult,playground,social
insult,pride,emotion
insult,slap,sensorimotor
insurrection,capitol,association
insurrection,flames,sensorimotor
insurrection,overthrow,association
insurrection,uprising,association
intention,arrow,association
intention,deliberate,association
intention,goal,association
intention,plan,association
interest,curiosity,emotion
interest,hobby,association
interest,loan,association
interest,spark,association
invention,eureka,association
invention,lightbulb,association
invention,patent,association
invention,workshop,social
jealousy,comparison,association
jealousy,green,association
jealousy,romance,emotion
jealousy,sibling,social
joy,celebration,emotion
joy,children,social
joy,laughter,sensorimotor
joy,sunshine,sensorimotor
judgement,courtroom,social
judgement,criticism,social
judgement,gavel,sensorimotor
judgement,scales,sensorimotor
justice,blindfold,association
justice,courtroom,sensorimotor
justice,gavel,sensorimotor
justice,scales,sensorimotor
justification,alignment,association
justification,court,social
justification,excuse,emotion
justification,reasoning,association
kindness,giving,social
kindness,smile,sensorimotor
kindness,stranger,social
kindness,warm,sensorimotor
knowledge,ancient,association
knowledge,discovery,association
knowledge,library,sensorimotor
knowledge,power,association
love,forever,association
love,heart,sensorimotor
love,roses,association
love,warmth,emotion
luck,casino,association
luck,chance,association
luck,clover,association
luck,horseshoe,association
lust,heat,sensorimotor
lust,red,sensorimotor
lust,temptation,emotion
luxury,champagne,sensorimotor
luxury,penthouse,association
luxury,velvet,sensorimotor
luxury,yacht,association
magic,illusion,association
magic,rabbit,association
magic,sparkle,sensorimotor
magic,wand,association
manipulation,control,association
manipulation,deceit,association
manipulation,puppet,association
manipulation,strings,association
manners,etiquette,association
manners,grandmother,social
manners,please,association
manners,table,association
matter,atoms,association
matter,dark,association
matter,gray,sensorimotor
matter,importance,association
meanness,bully,social
meanness,loneliness,emotion
meanness,playground,association
meanness,sharp words,emotion
memory,childhood,association
memory,elephant,association
memory,foggy,sensorimotor
memory,photograph,sensorimotor
menace,looming,association
menace,shadow,sensorimotor
menace,threat,emotion
menace,villain,social
mercy,judge,association
mercy,kneeling,sensorimotor
mercy,rain,sensorimotor
mercy,white,sensorimotor
miracle,birth,sensorimotor
miracle,faith,emotion
miracle,healing,emotion
miracle,unexpected,association
misdemeanor,fine,association
misdemeanor,jaywalking,association
misdemeanor,record,association
misery,cold,sensorimotor
misery,company,social
misery,rain,sensorimotor
misery,tears,sensorimotor
mockery,imitation,association
mockery,laughter,sensorimotor
mockery,playground,association
mockery,sneer,social
model,blueprint,sensorimotor
model,clay,sensorimotor
model,pose,sensorimotor
model,runway,sensorimotor
moment,breath,sensorimotor
moment,pause,association
moment,snapshot,association
mood,lighting,sensorimotor
mood,ring,association
mood,swing,emotion
mood,teenager,association
mourning,black,sensorimotor
mourning,funeral,social
mourning,tears,emotion
mourning,widow,association
need,desperate,emotion
need,essential,association
need,hunger,emotion
need,want,emotion
nervousness,butterflies,association
nervousness,job interview,social
nervousness,pacing,emotion
nervousness,sweaty palms,sensorimotor
nightmare,chase,sensorimotor
nightmare,falling,sensorimotor
nightmare,scream,sensorimotor
nightmare,sweat,sensorimotor
notion,fleeting,sensorimotor
notion,lightbulb,association
notion,philosophy,association
notion,whim,association
obedience,dog,sensorimotor
obedience,rules,association
obedience,soldier,association
obedience,training,association
objection,courtroom,association
objection,lawyer,association
objection,overruled,association
objection,raised hand,sensorimotor
obligation,burden,emotion
obligation,contract,social
obligation,deadline,association
obligation,handshake,social
observation,notes,sensorimotor
observation,scientist,association
observation,telescope,sensorimotor
observation,window,association
occupation,career,association
occupation,desk,association
occupation,invasion,association
occupation,military,association
order,chaos,association
order,judge,association
order,restaurant,social
order,sequence,association
ostracism,ancient,association
ostracism,invisible,association
ostracism,playground,association
ostracism,silence,sensorimotor
overview,dashboard,association
overview,presentation,social
overview,summary,association
pain,hospital,association
pain,relief,emotion
pain,sharp,association
pain,tears,emotion
panic,alarm,emotion
panic,crowd,social
panic,escape,sensorimotor
panic,sweaty palms,sensorimotor
pardon,forgiveness,emotion
pardon,interruption,association
pardon,queen,association
pardon,sneeze,association
passion,fire,association
passion,heartbeat,sensorimotor
passion,midnight,association
passion,red,sensorimotor
past,history,association
past,memories,emotion
past,photographs,sensorimotor
past,regret,emotion
peace,dove,association
peace,meditation,social
peace,silence,sensorimotor
peace,treaty,association
perception,blind spot,sensorimotor
perception,illusion,association
perception,lens,sensorimotor
perception,reality,association
perfection,diamond,association
perfection,gymnast,sensorimotor
perfection,obsession,emotion
perfection,unattainable,association
performance,applause,social
performance,nerves,emotion
performance,spotlight,association
performance,stage,association
perspective,argument,social
perspective,glasses,sensorimotor
perspective,mountain,association
perspective,window,sensorimotor
plan,blueprint,association
plan,calendar,association
plan,future,association
plan,strategy,association
pleasure,chocolate,sensorimotor
pleasure,laughter,sensorimotor
pleasure,vacation,association
pleasure,warmth,emotion
potential,energy,association
potential,growth,association
potential,interview,social
potential,untapped,association
poverty,empty pockets,sensorimotor
poverty,hunger,sensorimotor
poverty,shelter,sensorimotor
poverty,struggle,sensorimotor
power,electricity,sensorimotor
power,muscles,sensorimotor
power,outage,association
power,throne,association
prediction,crystal ball,association
prediction,fortune teller,association
prediction,future,association
prediction,weather forecast,association
present,birthday,association
present,bow,sensorimotor
present,moment,association
present,wrapping,sensorimotor
pride,achievement,association
pride,lion,association
pride,parade,association
pride,rainbow,association
problem,headache,sensorimotor
problem,math,association
problem,puzzle,association
problem,solution,association
prohibition,1920s,association
prohibition,bootlegger,association
prohibition,speakeasy,association
prohibition,temperance,emotion
promise,broken,association
promise,pinky,association
promise,ring,association
promise,wedding,social
proof,alcohol,association
proof,detective,association
proof,pudding,association
proposal,champagne,association
proposal,knee,association
proposal,nervous,emotion
proposal,ring,sensorimotor
prosperity,champagne,association
prosperity,gold,association
prosperity,harvest,association
prosperity,mansion,association
protection,armor,sensorimotor
protection,insurance,association
protection,shield,sensorimotor
protection,sunscreen,sensorimotor
protest,chanting,association
protest,march,sensorimotor
protest,police,social
protest,signs,sensorimotor
provocation,anger,emotion
provocation,argument,social
provocation,challenge,association
provocation,red flag,association
punishment,consequence,association
punishment,corner,association
punishment,grounded,association
punishment,judge,social
quality,craftsmanship,sensorimotor
quality,diamond,association
quality,inspection,association
quality,premium,association
quantity,discount,association
quantity,inventory,association
quantity,measuring cup,sensorimotor
quantity,overflow,sensorimotor
rage,fire,association
rage,fist,sensorimotor
rage,red,sensorimotor
rage,scream,sensorimotor
realization,dawn,association
realization,gasp,sensorimotor
realization,lightbulb,association
realization,sudden,association
reassurance,tight embrace,social
reassurance,warm hand,sensorimotor
reassurance,whispered words,sensorimotor
recommendation,algorithm,association
recommendation,letter,social
recommendation,netflix,association
recommendation,trust,emotion
recovery,hospital,social
recovery,journey,association
recovery,phoenix,association
recovery,strength,emotion
regard,consideration,emotion
regard,esteem,emotion
regard,gaze,sensorimotor
regard,letter,association
regret,apology,social
regret,hindsight,association
regret,missed opportunity,association
regret,sleepless nights,emotion
relief,deadline,association
relief,medication,association
relief,mountain,association
relief,sigh,emotion
remorse,apology,social
remorse,guilt,emotion
remorse,heavy,association
remorse,sleepless,sensorimotor
requirement,application,association
requirement,checklist,association
requirement,deadline,association
requirement,mandatory,association
resemblance,genetics,association
resemblance,mirror,association
resemblance,photograph,association
resemblance,twins,social
resistance,antibiotics,association
resistance,electricity,association
resistance,rebel,social
resistance,workout,sensorimotor
resolution,conflict,social
resolution,determination,emotion
resolution,january,association
resolution,pixels,association
respect,boundaries,association
respect,bow,sensorimotor
respect,earned,association
respect,elder,social
responsibility,adulting,association
responsibility,deadline,association
responsibility,keys,association
responsibility,weight,sensorimotor
retaliation,anger,emotion
retaliation,feud,social
retaliation,strike,association
retaliation,war,association
revenge,betrayal,social
revenge,cold,association
revenge,plot,association
revenge,satisfaction,emotion
revolution,change,sensorimotor
revolution,fist,association
revolution,france,association
revolution,wheel,association
risk,cliff,sensorimotor
risk,gamble,association
risk,insurance,association
risk,reward,association
ritual,ancient,association
ritual,candle,sensorimotor
ritual,midnight,association
ritual,repetition,association
romantic,candlelight,sensorimotor
romantic,paris,association
romantic,roses,sensorimotor
romantic,sunset,sensorimotor
safety,helmet,sensorimotor
safety,home,social
safety,net,association
safety,precaution,association
satisfaction,checkbox,association
satisfaction,full stomach,emotion
satisfaction,paycheck,association
satisfaction,sigh,sensorimotor
scheme,blueprint,sensorimotor
scheme,plan,association
scheme,plotting,emotion
scheme,villain,association
self-dependence,cabin,association
self-dependence,confidence,association
self-dependence,garden,association
self-dependence,survival,association
sensation,goosebumps,emotion
sensation,newspaper,association
sensation,tingling,sensorimotor
sensation,viral,social
sensitivity,allergy,association
sensitivity,camera,association
sensitivity,emotions,emotion
shame,blush,emotion
shame,downcast,sensorimotor
shame,hiding,sensorimotor
shame,secret,association
shyness,blushing,emotion
shyness,corner,association
shyness,wallflower,association
shyness,whisper,sensorimotor
skill,craft,association
skill,mastery,association
skill,practice,association
skill,talent,association
slapstick,banana peel,association
slapstick,chaplin,association
slapstick,pie,association
slapstick,pratfall,sensorimotor
solitude,cabin,association
solitude,mountains,association
solitude,reading,association
solitude,silence,sensorimotor
stimulus,check,association
stimulus,economics,association
stimulus,reflex,sensorimotor
stimulus,response,association
stress,coffee,association
stress,deadline,association
stress,headache,emotion
stress,insomnia,emotion
success,champagne,association
success,climbing,sensorimotor
success,graduation,association
success,trophy,association
suffering,endurance,emotion
suffering,hospital,association
suffering,relief,emotion
suffering,tears,sensorimotor
support,bra,sensorimotor
support,cheerleading,social
support,foundation,association
support,pillar,sensorimotor
surprise,birthday,association
surprise,confetti,sensorimotor
surprise,gasp,sensorimotor
surprise,hidden,association
talent,hidden,association
talent,natural,association
talent,scout,association
talent,stage,association
task,checklist,association
task,completion,association
task,deadline,social
task,effort,emotion
terrorism,explosion,sensorimotor
terrorism,fear,emotion
terrorism,news,association
terrorism,security,association
theory,blackboard,sensorimotor
theory,conspiracy,association
theory,einstein,association
theory,proof,association
thirst,cracked lips,sensorimotor
thirst,desert,sensorimotor
thirst,summer,sensorimotor
thirst,water bottle,sensorimotor
thought,bubble,association
thought,deep,association
thought,lost,association
thought,shower,association
threat,danger,emotion
threat,letter,association
threat,looming,association
threat,warning,association
tradition,candles,sensorimotor
tradition,family,social
tradition,grandmother,social
tradition,holiday,association
trend,fashion,association
trend,graph,association
trend,hashtag,association
trend,viral,association
trust,broken,association
trust,fall,association
trust,foundation,association
trust,handshake,sensorimotor
value,math,association
value,price,association
value,treasure,association
value,worthy,association
vanity,license plate,association
vanity,lipstick,sensorimotor
vanity,mirror,sensorimotor
vanity,peacock,association
victory,confetti,sensorimotor
victory,fist,sensorimotor
victory,podium,association
victory,trophy,association
view,mountain,sensorimotor
view,opinion,association
view,telescope,sensorimotor
view,window,association
violation,boundary,association
violation,red,sensorimotor
violation,shatter,sensorimotor
violation,ticket,association
violence,fist,sensorimotor
violence,red,sensorimotor
violence,shattered glass,sensorimotor
violence,silence,sensorimotor
war,destruction,emotion
war,smoke,sensorimotor
war,soldiers,association
war,trenches,sensorimotor
warning,danger,association
warning,label,sensorimotor
warning,siren,sensorimotor
warning,yellow,sensorimotor
weakness,chocolate,sensorimotor
weakness,confession,emotion
weakness,knees,sensorimotor
weakness,kryptonite,association
wealth,gold,sensorimotor
wealth,inheritance,association
wealth,mansion,association
wealth,stocks,association
welfare,check,association
welfare,children,social
welfare,government,association
welfare,safety,association
will,determination,association
will,future,association
will,power,association
will,testament,association
willingness,handshake,social
willingness,nod,sensorimotor
willingness,open door,association
willingness,volunteer,association
wish,birthday,association
wish,dandelion,association
wish,star,association
wish,well,association
wit,banter,association
wit,clever,association
wit,humor,emotion
wit,sharp,association
wonder,child,association
wonder,curiosity,emotion
wonder,magic,association
wonder,stargazing,sensorimotor
work,coffee,sensorimotor
work,commute,sensorimotor
work,deadline,association
work,desk,sensorimotor
worry,mother,social
worry,sleepless,emotion
worry,stomach,sensorimotor
worry,wrinkles,sensorimotor
achievement,applause,social
achievement,finish line,association
addiction,withdrawal,emotion
admiration,hero,social
adventure,backpack,sensorimotor
adventure,campfire,sensorimotor
adventure,map,sensorimotor
advice,crossroads,sensorimotor
amazement,plot twist,association
amazement,wide eyes,sensorimotor
ambition,skyscraper,sensorimotor
ambition,trophy,association
ambush,camouflage,association
amusement,carnival,association
amusement,rollercoaster,association
anger,clenched fists,sensorimotor
anger,raised voice,sensorimotor
anxiety,sleepless nights,emotion
apology,handshake,sensorimotor
apology,tears,sensorimotor
appearance,makeup,sensorimotor
appearance,stage,social
appetite,empty plate,sensorimotor
application,deadline,association
application,job interview,social
aptitude,puzzle,association
argument,logic,association
assumption,misunderstanding,association
assumption,shortcut,association
assumption,stereotype,association
astonishment,dropped jaw,sensorimotor
astonishment,wide eyes,sensorimotor
attack,alarm,association
attack,panic,emotion
attack,siren,sensorimotor
attention,raised hand,association
being,breathing,sensorimotor
blackmail,fear,emotion
boredom,doodling,sensorimotor
boycott,picket signs,association
bravery,battlefield,social
career,interview,social
catastrophe,evacuation,association
catastrophe,sirens,sensorimotor
challenge,deadline,association
challenge,puzzle,sensorimotor
chaos,broken glass,sensorimotor
character,handwriting,sensorimotor
charm,rabbit’s foot,association
comfort,fireplace,sensorimotor
comparison,sibling rivalry,social
compassion,charity,association
competence,promotion,social
competence,toolbox,sensorimotor
compromise,handshake,sensorimotor
compulsion,locked door,sensorimotor
conflict,stress,emotion
consolation,trophy,sensorimotor
contempt,eye-roll,sensorimotor
convention,keynote,association
cooperation,group project,social
courage,battlefield,association
crime,evidence,association
crime,police,association
crime,prison,association
cruelty,cold stare,emotion
culture,festival,association
curiosity,telescope,sensorimotor
danger,cliff edge,sensorimotor
danger,siren,sensorimotor
demand,deadline,association
desire,chocolate,sensorimotor
destruction,wildfire,sensorimotor
detection,microscope,sensorimotor
dictatorship,censorship,association
dictatorship,curfew,association
difference,argument,social
difference,equation,association
dignity,straight posture,sensorimotor
diligence,homework,association
disappointment,broken promise,association
discovery,treasure map,sensorimotor
dispute,contract,social
dispute,shouting,sensorimotor
distance,telescope,sensorimotor
distraction,phone notifications,sensorimotor
diversity,classroom,social
downfall,scandal,association
dream,flying,sensorimotor
dream,pillow,sensorimotor
effort,late nights,sensorimotor
effort,marathon,association
elegance,ballroom,social
emotion,diary,association
emotion,heartbeat,sensorimotor
enchantment,moonlight,sensorimotor
enthusiasm,bright colors,sensorimotor
error,404-page,sensorimotor
